TradeDate,MMType,Ccy,Start,End,Notional,Index,Rate,Cpty,Company,Desk,Book
20141130,DEPOSIT,EUR,20141130,46M,62831685.44,FIXED,0.0193,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,47M,5553478.51,FIXED,0.0052,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,48M,10894003.96,FIXED,0.0160,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,48M,37827966.96,FIXED,0.0160,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,49M,6705382.88,FIXED,0.0181,INTEINT,INGLU,LUDESK,LUMMPB
20141130,LOAN,EUR,20141130,50M,3658382.53,FIXED,0.0176,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,50M,3632379.96,FIXED,0.0176,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,50M,26996433.90,FIXED,0.0157,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,51M,10826843.53,FIXED,0.0152,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,51M,47741260.32,FIXED,0.0088,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,52M,23870630.16,FIXED,0.0089,INTEINT,INGLU,LUDESK,LUMMCB
20141130,LOAN,EUR,20141130,53M,9451085.00,FIXED,0.0137,INTEINT,INGLU,LUDESK,LUMMCB
20141130,LOAN,EUR,20141130,54M,688743.86,FIXED,0.0000,INTEINT,INGLU,LUDESK,LUMMPB
20141130,LOAN,EUR,20141130,54M,466993.58,FIXED,0.0000,INTEINT,INGLU,LUDESK,LUMMRE
20141130,LOAN,EUR,20141130,54M,716145.18,FIXED,0.0137,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,55M,16897763.19,FIXED,0.0096,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,56M,143223780.98,FIXED,0.0096,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,58M,57761959.13,FIXED,0.0075,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,60M,10894003.95,FIXED,0.0188,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,61M,7695115.14,FIXED,0.0208,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,62M,5923095.53,FIXED,0.0183,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,62M,13034118.04,FIXED,0.0216,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,63M,5553478.51,FIXED,0.0063,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,64M,5967996.81,FIXED,0.0220,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,65M,6073435.75,FIXED,0.0195,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,66M,4041930.88,FIXED,0.0220,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,67M,16675452.26,FIXED,0.0139,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,68M,10417219.85,FIXED,0.0161,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,69M,3608530.02,FIXED,0.0259,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,73M,11542672.69,FIXED,0.0233,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,75M,5413421.76,FIXED,0.0205,INTEINT,INGLU,LUDESK,LUMMRE
20141130,LOAN,EUR,20141130,78M,1033115.80,FIXED,0.0000,INTEINT,INGLU,LUDESK,LUMMPB
20141130,LOAN,EUR,20141130,78M,875612.96,FIXED,0.0000,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,80M,9963182.24,FIXED,0.0131,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,83M,3792990.82,FIXED,0.0095,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,84M,5553478.50,FIXED,0.0084,INTEINT,INGLU,LUDESK,LUMMRE
